24-0000014174,02-0000196560,180,20171222,20171222,193553.0077,559414.3787,신흥IND,,1,2,1,2475732,1,2017-0101-012,24-014174,18902,1,1
24-0000012105,02-0000177196,180,20160322,20220831,192615.8159,552843.4786,휴먼테크,,6,2,1,2352814,1,2022-9901-002,24-012105,16833,1,2
24-0000003725,02-0000137613,180,20070601,20110419,192177.8674,544005.0642,한길에이치씨,,4,1,1,,1,2010-0101-073,24-003725,10828,1,2
24-0000000799,02-0000117583,180,,,208636.5387,556473.2249,,,1,1,1,,1,2000-0000-000,24-000799,9698,1,
24-0000015135,02-0000039017,,20180801,20180801,205403.8175,544930.6644,(주)대한신호,,1,2,1,5116432,1,2018-0101-118,24-015135,19863,,1
24-0000003703,02-0000137963,180,20070601,20160510,191451.95,537911.5125,대한신호,,1,2,1,2032533,1,2016-0101-027,24-003703,10944,1,2
24-0000000125,02-0000042321,180,10101,10101,208413.6136,544778.428,0,,2,1,1,,1,2000-0000-000,24-000125,4085,1,
24-0000000125,02-0000042321,180,10101,10101,208413.6136,544778.428,,,2,1,1,,1,2000-0000-000,24-000125,4086,1,
24-0000016848,02-0000040546,,20200518,20200518,206859.0737,545077.0493,,,1,2,1,5146362,1,2020-0101-018,24-016848,21576,,1
24-0000000507,02-0000042325,180,,,208405.2309,544807.428,,,4,1,1,,1,2012-0101-019,24-000507,4088,1,2
24-0000009578,02-0000063921,180,20200826,20200826,186745.2375,551141.6937,,,1,2,1,12481710,1,2020-0101-072,24-009578,14306,1,4
24-0000009368,02-0000143263,180,20000101,20000101,203852.3167,540732.8602,,,1,1,1,4087392,1,,24-009368,14096,1,
24-0000017133,02-0000024378,,20200601,20200601,193645.2501,547571.8933,대한신호,,1,2,1,2271962,1,2019-0201-062,24-017133,21861,,1
24-0000020051,02-0000080799,,20221209,20221209,,,대한신호,,1,2,1,5450591,1,2022-0101-110,24-020051,24779,,1
24-0000009424,02-0000001580,180,20000101,20000101,196461.725,552521.1875,,,1,2,1,3331553,1,,24-009424,14152,1,1
24-0000005977,02-0000042356,90,10101,10101,205006.3199,545302.3857,,0,1,1,1,,1,2000-0000-000,24-005977,4090,1,
24-0000017132,02-0000024361,,20200601,20200601,193622.3126,547558.5183,대한신호,,1,2,1,2271862,1,2019-0201-062,24-017132,21860,,1
24-0000007027,02-0000134351,180,20200601,20200601,193517.3375,547466.3625,대한신호,0,1,2,1,2271646,1,2019-0201-062,24-007027,10670,1,1
24-0000009345,02-0000018083,180,20000101,20000101,201045.9058,545431.2442,,,1,2,1,4127736,1,,24-009345,14073,1,1
24-0000009352,02-0000157133,180,20000101,20000101,201012.8215,545385.5471,,,1,2,1,4127623,1,,24-009352,14080,1,1
24-0000010076,02-0000034324,180,20000101,20000101,189924.2625,542824.2687,,,1,2,1,2102413,1,,24-010076,14804,1,1
24-0000003678,02-0000057990,180,20120116,20220930,184800.2,548520.0562,㈜대한신호,,3,2,1,1203254,1,2022-0101-074,24-003678,5020,1,2
24-0000015131,02-0000199267,,20181210,20220927,188810.3353,543762.3533,㈜대한신호,,1,2,1,1184203,1,2022-0101-074,24-015131,19859,,2
